area;value
Opsterland;32
Oss;22
Oud-Beijerland;20
Oude IJsselstreek;20
Ouder-Amstel;7
Ouderkerk;12
Oudewater;10
Overbetuwe;17
Papendrecht;16
Peel en Maas;21
Pekela;34
Pijnacker-Nootdorp;20
Purmerend;26
Putten;19
Raalte;24
Reimerswaal;13
Renkum;33
Renswoude;0
Reusel-De Mierden;14
Rheden;37
Rhenen;28
Ridderkerk;14
Rijnwaarden;22
Rijssen-Holten;22
Rijswijk (ZH.);17
Roerdalen;21
Roermond;25
De Ronde Venen;10
Roosendaal;20
Rotterdam;19
Rozendaal;0
Rucphen;13
Schagen;24
Schermer;14
Scherpenzeel;15
Schiedam;19
Schiermonnikoog;0
Schijndel;22
Schinnen;16
Schoonhoven;17
Schouwen-Duiveland;15
Simpelveld;19
Sint Anthonis;34
Sint-Michielsgestel;20
Sint-Oedenrode;16
Sittard-Geleen;30
Sliedrecht;44
Slochteren;20
Sluis;14
Smallingerland;35
Soest;17
Someren;17
Son en Breugel;20
Spijkenisse;21
Stadskanaal;43
Staphorst;18
Stede Broec;25
Steenbergen;14
Steenwijkerland;24
Stein (L.);18
Stichtse Vecht;11
Strijen;16
SÏdwest-Fryslän;26
Terneuzen;19
Terschelling;0
Texel;23
Teylingen;15
Tholen;14
Tiel;26
Tilburg;21
Tubbergen;16
Twenterand;27
Tynaarlo;29
Tytsjerksteradiel;22
Ubbergen;19
Uden;23
Uitgeest;11
Uithoorn;17
Urk;22
Utrecht (gemeente);16
Utrechtse Heuvelrug;30
Vaals;21
Valkenburg aan de Geul;21
Valkenswaard;17
Veendam;33
Veenendaal;21
Veere;16
Veghel;16
Veldhoven;29
Velsen;18
Venlo;19
Venray;26
Vianen;13
Vlaardingen;20
Vlagtwedde;37
Vlieland;0
Vlissingen;17
Vlist;18
Voerendaal;13
Voorschoten;13
Voorst;37
Vught;34
Waalre;9
Waalwijk;17
Waddinxveen;21
Wageningen;21
Wassenaar;10
Waterland;9
Weert;19
Weesp;16
Werkendam;14
West Maas en Waal;16
Westerveld;28
Westervoort;21
Westland;16
Weststellingwerf;24
Westvoorne;13
Wierden;14
Wijchen;18
Wijdemeren;9
Wijk bij Duurstede;14
Winsum;21
Winterswijk;28
Woensdrecht;12
Woerden;17
De Wolden;19
Wormerland;13
Woudenberg;34
Woudrichem;14
Zaanstad;20
Zaltbommel;16
Zandvoort;19
Zederik;11
Zeevang;17
Zeewolde;13
Zeist;35
Zevenaar;24
Zoetermeer;17
Zoeterwoude;58
Zuidhorn;21
Zuidplas;16
Zundert;19
Zutphen;39
Zwartewaterland;22
Zwijndrecht;16
Zwolle;34
